LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,LotShape_enc,Utilities_enc,LandSlope_enc,ExterQual_enc,ExterCond_enc,BsmtQual_enc,BsmtCond_enc,HeatingQC_enc,KitchenQual_enc,FireplaceQu_enc,GarageQual_enc,GarageCond_enc,PoolQC_enc,BsmtExposure_enc,BsmtFinType1_enc,BsmtFinType2_enc,Functional_enc,GarageFinish_enc,PavedDrive_enc,Fence_enc,TotalSF,TotalLivingSF,TotalFinishedSF,TotalPorchSF,TotalOutdoorSF,TotalBath,TotalFullBath,TotalHalfBath,BathPerBedroom,RoomPerBedroom,HasGarage,HasBasement,HasFireplace,HasPool,HasFence,HasAlley,HasMasVnr,Has2ndFloor,HasWoodDeck,HasPorch,HasExtraKitchen,HasLowQualFinSF,HasMiscValue,HouseAge,RemodAge,GarageAge,IsRemodeled,IsNewHouse,MoSold_sin,MoSold_cos,OverallScore,OverallQualCond,QualityConditionGap,ExteriorScore,KitchenScore,GarageScore,BasementScore,FireplaceScore,PoolScore,QualAreaInteraction,QualTotalSF,QualGarage,QualBath,QualKitchen,LivingAreaRatio,GarageAreaRatio,BasementRatio,FinishedBsmtRatio,PorchRatio,GarageAreaPerCar,MiscVal_log,PoolScore_log,PoolArea_log,LotArea_log,LowQualFinSF_log,3SsnPorch_log,BsmtFinSF2_log,EnclosedPorch_log,ScreenPorch_log,RoomPerBedroom_log,LivingAreaRatio_log,MasVnrArea_log,OpenPorchSF_log,TotalPorchSF_log,PorchRatio_log,QualTotalSF_log,TotalOutdoorSF_log,WoodDeckSF_log,TotalFinishedSF_log,BathPerBedroom_log,QualAreaInteraction_log,TotalSF_log,TotalLivingSF_log,LotFrontage_log,1stFlrSF_log,BsmtFinSF1_log,GrLivArea_log,TotalBsmtSF_log,KitchenScore_log,FireplaceScore_log,BsmtUnfSF_log,QualKitchen_log,2ndFlrSF_log,QualBath_log,TotalHalfBath_log,CentralAir_enc,Street_enc,MSSubClass_120,MSSubClass_160,MSSubClass_190,MSSubClass_20,MSSubClass_30,MSSubClass_50,MSSubClass_60,MSSubClass_70,MSSubClass_80,MSSubClass_85,MSSubClass_90,MSSubClass_Other,MSZoning_C (all),MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,Alley_Grvl,Alley_NoAlley,Alley_Pave,LandContour_Bnk,LandContour_HLS,LandContour_Low,LandContour_Lvl,LotConfig_Corner,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_Other,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Condition1_Artery,Condition1_Feedr,Condition1_Norm,Condition1_Other,Condition1_PosN,Condition1_RRAn,Condition2_Norm,Condition2_Other,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,HouseStyle_1.5Fin,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,RoofStyle_Gable,RoofStyle_Hip,RoofStyle_Other,RoofMatl_CompShg,RoofMatl_Other,Exterior1st_AsbShng,Exterior1st_BrkFace,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_MetalSd,Exterior1st_Other,Exterior1st_Plywood,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing,Exterior2nd_AsbShng,Exterior2nd_BrkFace,Exterior2nd_CmentBd,Exterior2nd_HdBoard,Exterior2nd_MetalSd,Exterior2nd_Other,Exterior2nd_Plywood,Exterior2nd_Stucco,Exterior2nd_VinylSd,Exterior2nd_Wd Sdng,Exterior2nd_Wd Shng,MasVnrType_BrkCmn,MasVnrType_BrkFace,MasVnrType_None,MasVnrType_Stone,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Heating_GasA,Heating_Other,Electrical_FuseA,Electrical_FuseF,Electrical_FuseP,Electrical_Mix,Electrical_SBrkr,GarageType_2Types,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageType_NoGarage,MiscFeature_Gar2,MiscFeature_NoMiscFeature,MiscFeature_Othr,MiscFeature_Shed,MiscFeature_TenC,SaleType_COD,SaleType_New,SaleType_Other,SaleType_WD,SaleCondition_Abnorml,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Other,SaleCondition_Partial,MoSold_cat_1,MoSold_cat_10,MoSold_cat_11,MoSold_cat_12,MoSold_cat_2,MoSold_cat_3,MoSold_cat_4,MoSold_cat_5,MoSold_cat_6,MoSold_cat_7,MoSold_cat_8,MoSold_cat_9,YrSold_cat_2006,YrSold_cat_2007,YrSold_cat_2008,YrSold_cat_2009,YrSold_cat_2010,SoldSeason_Fall,SoldSeason_Spring,SoldSeason_Summer,SoldSeason_Winter
65.0,8450,7,5,2003,2003,196.0,706.0,0.0,150.0,856.0,856,854,0,1710,1.0,0.0,2,1,3,1,8,0,2003.0,2.0,548.0,0,61,0,0,0,0,0,2,2008,4,4,3,4,3,4,3,5,4,0,3,3,0,1,6,1,8,2,2,0,2566.0,2566.0,2416.0,61,61,3.5,3.0,1.0,1.1666666666666667,2.6666666666666665,1,1,0,0,0,0,1,1,0,1,0,0,0,5,5,5.0,0,0,0.8660254037844386,0.5000000000000001,12,35,2,7,4.0,8,8,0,0,11970,17962.0,14.0,24.5,28.0,0.20236686390532543,0.32046783625730996,0.33359314107560406,0.8247663551401869,0.03567251461988304,274.0,0.0,0.0,0.0,9.042040056544483,0.0,0.0,0.0,0.0,0.0,1.2992829841302609,0.18429200078125335,5.2832037287379885,4.127134385045092,4.127134385045092,0.035050988286128015,9.796069365768835,4.127134385045092,0.0,7.790282380703483,0.7731898882334818,9.39024233725137,7.8504931808711405,7.8504931808711405,4.189654742026425,6.75343791859778,6.561030665896573,7.444833273892193,6.75343791859778,1.6094379124341003,0.0,5.017279836814924,3.367295829986474,6.75110146893676,3.2386784521643803,0.6931471805599453,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
80.0,9600,6,8,1976,1976,0.0,978.0,0.0,284.0,1262.0,1262,0,0,1262,0.0,1.0,2,0,3,1,6,1,1976.0,2.0,460.0,298,0,0,0,0,0,0,5,2007,4,4,3,3,3,4,3,5,3,3,3,3,0,4,5,1,8,2,2,0,2524.0,2524.0,2240.0,0,298,2.5,2.0,1.0,0.8333333333333334,2.0,1,1,1,0,0,0,0,0,1,0,0,0,0,31,31,31.0,0,0,0.49999999999999994,-0.8660254037844387,14,48,-2,6,3.0,8,11,3,0,7572,15144.0,12.0,15.0,18.0,0.13145833333333334,0.36450079239302696,0.5,0.7749603803486529,0.0,230.0,0.0,0.0,0.0,9.169622538697624,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,0.12350736113886299,0.0,0.0,0.0,0.0,9.625425723461337,5.700443573390687,5.700443573390687,7.714677473800927,0.6061358035703155,8.932344569113823,7.83399634170946,7.83399634170946,4.394449154672439,7.141245122350491,6.88653164253051,7.141245122350491,7.141245122350491,1.3862943611198906,1.3862943611198906,5.652489180268651,2.9444389791664403,0.0,2.772588722239781,0.6931471805599453,1,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
68.0,11250,7,5,2001,2002,162.0,486.0,0.0,434.0,920.0,920,866,0,1786,1.0,0.0,2,1,3,1,6,1,2001.0,2.0,608.0,0,42,0,0,0,0,0,9,2008,3,4,3,4,3,4,3,5,4,3,3,3,0,2,6,1,8,2,2,0,2706.0,2706.0,2272.0,42,42,3.5,3.0,1.0,1.1666666666666667,2.0,1,1,1,0,0,0,1,1,0,1,0,0,0,7,6,7.0,1,0,-1.0,-1.8369701987210297e-16,12,35,2,7,4.0,8,9,3,0,12502,18942.0,14.0,24.5,28.0,0.15875555555555557,0.3404255319148936,0.3399852180339985,0.5282608695652173,0.023516237402015677,304.0,0.0,0.0,0.0,9.328212292571072,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,0.14734663232488598,5.093750200806762,3.7612001156935624,3.7612001156935624,0.02324399057765096,9.849189749128278,3.7612001156935624,0.0,7.728855823852543,0.7731898882334818,9.433723894495,7.903596289614301,7.903596289614301,4.23410650459726,6.825460036255307,6.18826412308259,7.488293515159428,6.825460036255307,1.6094379124341003,1.3862943611198906,6.075346031088684,3.367295829986474,6.7650389767805414,3.2386784521643803,0.6931471805599453,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False
60.0,9550,7,5,1915,1970,0.0,216.0,0.0,540.0,756.0,961,756,0,1717,1.0,0.0,1,0,3,1,7,1,1998.0,3.0,642.0,0,35,272,0,0,0,0,2,2006,3,4,3,3,3,3,4,4,4,4,3,3,0,1,5,1,8,1,2,0,2473.0,2473.0,1933.0,307,307,2.0,2.0,0.0,0.6666666666666666,2.3333333333333335,1,1,1,0,0,0,0,1,0,1,0,0,0,91,36,8.0,1,0,0.8660254037844386,0.5000000000000001,12,35,2,6,4.0,7,8,4,0,12019,17311.0,21.0,14.0,28.0,0.17979057591623038,0.37390797903319745,0.305701577031945,0.2857142857142857,0.17880023296447292,214.0,0.0,0.0,0.0,9.164401140034737,0.0,0.0,0.0,5.60947179518496,0.0,1.2039728043259361,0.16533694468939,0.0,3.58351893845611,5.730099782973574,0.16449716950988064,9.759155181646207,5.730099782973574,0.0,7.56734567601324,0.5108256237659907,9.394327208089198,7.813591552952433,7.813591552952433,4.110873864173311,6.8690144506657065,5.37989735354046,7.4489161025442,6.6293632534374485,1.6094379124341003,1.6094379124341003,6.293419278846481,3.367295829986474,6.6293632534374485,2.70805020110221,0.0,1,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
84.0,14260,8,5,2000,2000,350.0,655.0,0.0,490.0,1145.0,1145,1053,0,2198,1.0,0.0,2,1,4,1,9,1,2000.0,3.0,836.0,192,84,0,0,0,0,0,12,2008,3,4,3,4,3,4,3,5,4,3,3,3,0,3,6,1,8,2,2,0,3343.0,3343.0,2853.0,84,276,3.5,3.0,1.0,0.875,2.25,1,1,1,0,0,0,1,1,1,1,0,0,0,8,8,8.0,0,0,-2.4492935982947064e-16,1.0,13,40,3,7,4.0,8,10,3,0,17584,26744.0,24.0,28.0,32.0,0.1541374474053296,0.38034576888080074,0.34250673048160335,0.5720524017467249,0.03821656050955414,278.6666666666667,0.0,0.0,0.0,9.565283817736766,0.0,0.0,0.0,0.0,0.0,1.1786549963416462,0.1433532661973713,5.860786223465865,4.442651256490317,4.442651256490317,0.03750439545845428,10.19410281896535,5.6240175061873385,5.262690188904886,7.956476798036782,0.6286086594223741,9.774801544908083,8.114922974204593,8.114922974204593,4.442651256490317,7.044032897274685,6.486160788944089,7.695757990554761,7.044032897274685,1.6094379124341003,1.3862943611198906,6.19644412779452,3.4965075614664802,6.960347729101308,3.367295829986474,0.6931471805599453,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
85.0,14115,5,5,1993,1995,0.0,732.0,0.0,64.0,796.0,796,566,0,1362,1.0,0.0,1,1,1,1,5,0,1993.0,2.0,480.0,40,30,0,320,0,0,700,10,2009,3,4,3,3,3,4,3,5,3,0,3,3,0,1,6,1,8,1,2,3,2158.0,2158.0,2094.0,350,390,2.5,2.0,1.0,2.5,5.0,1,1,0,0,1,0,0,1,1,1,0,0,1,16,14,16.0,1,0,-0.8660254037844386,0.5000000000000001,10,25,0,6,3.0,7,8,0,0,6810,10790.0,10.0,12.5,15.0,0.09649309245483528,0.3524229074889868,0.36886005560704355,0.9195979899497487,0.25697503671071953,240.0,6.55250788703459,0.0,0.0,9.55506418479516,0.0,5.771441123130016,0.0,0.0,0.0,1.791759469228055,0.0921169892251699,0.0,3.4339872044851463,5.860786223465865,0.22870806999222973,9.286467732363734,5.968707559985366,3.713572066704308,7.647308832356238,1.252762968495368,8.826294231241318,7.677400430514807,7.677400430514807,4.454347296253507,6.680854678790215,6.597145701886651,7.217443431696533,6.680854678790215,1.3862943611198906,0.0,4.174387269895637,2.772588722239781,6.340359303727752,2.6026896854443837,0.6931471805599453,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
75.0,10084,8,5,2004,2005,186.0,1369.0,0.0,317.0,1686.0,1694,0,0,1694,1.0,0.0,2,0,3,1,7,1,2004.0,2.0,636.0,255,57,0,0,0,0,0,8,2007,4,4,3,4,3,5,3,5,4,4,3,3,0,3,6,1,8,2,2,0,3380.0,3380.0,3063.0,57,312,3.0,3.0,0.0,1.0,2.3333333333333335,1,1,1,0,0,0,1,0,1,1,0,0,0,3,2,3.0,1,0,-0.8660254037844385,-0.5000000000000004,13,40,3,7,4.0,8,11,4,0,13552,27040.0,16.0,24.0,32.0,0.16798889329631098,0.3754427390791027,0.49881656804733726,0.8119810201660735,0.03364817001180637,318.0,0.0,0.0,0.0,9.218804450388312,0.0,0.0,0.0,0.0,0.0,1.2039728043259361,0.15528337519670563,5.231108616854587,4.060443010546419,4.060443010546419,0.03309445707385215,10.205109511721595,5.746203190540153,5.545177444479562,8.027476530860483,0.6931471805599453,9.514363204016016,8.125926802707886,8.125926802707886,4.330733340286331,7.43543801981455,7.222566018822171,7.43543801981455,7.430707082545968,1.6094379124341003,1.6094379124341003,5.762051382780177,3.4965075614664802,0.0,3.2188758248682006,0.0,1,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
80.0,10382,7,6,1973,1973,240.0,859.0,32.0,216.0,1107.0,1107,983,0,2090,1.0,0.0,2,1,3,1,7,2,1973.0,2.0,484.0,235,204,228,0,0,0,350,11,2009,3,4,3,3,3,4,3,5,3,3,3,3,0,2,5,4,8,2,2,0,3197.0,3197.0,2981.0,432,667,3.5,3.0,1.0,1.1666666666666667,2.3333333333333335,1,1,1,0,0,0,1,1,1,1,0,0,1,36,36,36.0,0,0,-0.5000000000000004,0.8660254037844384,13,42,1,6,3.0,8,9,6,0,14630,22379.0,14.0,24.5,21.0,0.20130995954536698,0.23157894736842105,0.34626212073819207,0.8048780487804879,0.20669856459330144,242.0,5.860786223465865,0.0,0.0,9.247925132303454,0.0,0.0,3.4965075614664802,5.43372200355424,0.0,1.2039728043259361,0.1834125943504381,5.484796933490655,5.3230099791384085,6.07073772800249,0.18788817156600818,10.015922981865916,6.504288173536645,5.4638318050256105,8.000349495324684,0.7731898882334818,9.590897844378162,8.0702808933939,8.0702808933939,4.394449154672439,7.010311867307229,6.756932389247553,7.645397699428633,7.010311867307229,1.3862943611198906,1.9459101490553132,5.37989735354046,3.091042453358316,6.891625897052253,3.2386784521643803,0.6931471805599453,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
51.0,6120,7,5,1931,1950,0.0,0.0,0.0,952.0,952.0,1022,752,0,1774,0.0,0.0,2,0,2,2,8,2,1931.0,2.0,468.0,90,0,205,0,0,0,0,4,2008,4,4,3,3,3,3,3,4,3,3,2,3,0,1,1,1,7,1,2,0,2726.0,2726.0,1774.0,205,295,2.0,2.0,0.0,1.0,4.0,1,1,1,0,0,0,0,1,1,1,1,0,0,77,58,77.0,1,0,0.8660254037844387,-0.4999999999999998,12,35,2,6,6.0,6,7,6,0,12418,19082.0,14.0,14.0,21.0,0.28986928104575166,0.2638105975197294,0.3492296404988995,0.0,0.11555806087936867,234.0,0.0,0.0,0.0,8.71948076085107,0.0,0.0,0.0,5.327876168789581,0.0,1.6094379124341003,0.25454088071642067,0.0,0.0,5.327876168789581,0.10935478273304093,9.856553165346915,5.69035945432406,4.51085950651685,7.4815557019095165,0.6931471805599453,9.426982836948033,7.910957382845589,7.910957382845589,3.9512437185814275,6.930494765951626,0.0,7.4815557019095165,6.859614903654202,1.9459101490553132,1.9459101490553132,6.859614903654202,3.091042453358316,6.6240652277998935,2.70805020110221,0.0,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
50.0,7420,5,6,1939,1950,0.0,851.0,0.0,140.0,991.0,1077,0,0,1077,1.0,0.0,1,0,2,2,5,2,1939.0,1.0,205.0,0,4,0,0,0,0,0,1,2008,4,4,3,3,3,3,3,5,3,3,4,3,0,1,6,1,8,2,2,0,2068.0,2068.0,1928.0,4,4,2.0,2.0,0.0,1.0,2.5,1,1,1,0,0,0,0,0,0,1,1,0,0,69,58,69.0,1,0,0.49999999999999994,0.8660254037844387,11,30,-1,6,6.0,9,7,6,0,5385,10340.0,5.0,10.0,15.0,0.14514824797843665,0.1903435468895079,0.47920696324951645,0.858728557013118,0.003714020427112349,205.0,0.0,0.0,0.0,8.912069097970134,0.0,0.0,0.0,0.0,0.0,1.252762968495368,0.13553410284211517,0.0,1.6094379124341003,1.6094379124341003,0.0037071404828197133,9.243871855184976,1.6094379124341003,0.0,7.564757012905729,0.6931471805599453,8.591558273371545,7.634820677745543,7.634820677745543,3.9318256327243257,6.982862751468942,6.747586526829315,6.982862751468942,6.899723107284872,1.9459101490553132,1.9459101490553132,4.948759890378168,2.772588722239781,0.0,2.3978952727983707,0.0,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
