iter	Passed	Remaining
0	151	181647
1	152	91597
2	154	61458
3	155	46391
4	156	37403
5	157	31373
6	159	27189
7	171	25513
8	172	22840
9	174	20712
10	175	18968
11	176	17501
12	177	16250
13	179	15189
14	180	14259
15	181	13446
16	183	12746
17	184	12136
18	186	11571
19	187	11066
20	188	10605
21	190	10198
22	191	9811
23	193	9461
24	194	9134
25	195	8840
26	197	8568
27	199	8346
28	202	8160
29	203	7940
30	205	7765
31	208	7622
32	210	7447
33	212	7276
34	213	7116
35	215	6977
36	217	6839
37	219	6701
38	224	6685
39	227	6592
40	229	6473
41	230	6362
42	232	6246
43	233	6139
44	235	6037
45	236	5937
46	238	5843
47	239	5756
48	241	5681
49	243	5595
50	244	5514
51	246	5444
52	248	5372
53	249	5300
54	251	5236
55	252	5166
56	254	5099
57	256	5041
58	258	4990
59	259	4933
60	261	4874
61	262	4819
62	264	4766
63	265	4714
64	266	4662
65	268	4614
66	270	4567
67	271	4523
68	273	4480
69	274	4438
70	276	4400
71	278	4358
72	279	4316
73	281	4275
74	282	4241
75	284	4204
76	286	4180
77	288	4150
78	289	4114
79	292	4089
80	293	4055
81	295	4024
82	296	3995
83	298	3962
84	300	3935
85	301	3905
86	302	3873
87	304	3847
88	306	3820
89	307	3794
90	309	3768
91	310	3741
92	312	3713
93	317	3741
94	319	3717
95	322	3708
96	324	3694
97	326	3668
98	327	3646
99	329	3625
100	331	3608
101	334	3601
102	335	3577
103	337	3556
104	338	3534
105	340	3512
106	341	3489
107	343	3469
108	344	3447
109	345	3425
110	347	3408
111	348	3389
112	350	3368
113	351	3349
114	353	3330
115	354	3311
116	355	3292
117	357	3274
118	358	3256
119	359	3237
120	360	3218
121	362	3202
122	363	3185
123	365	3168
124	366	3151
125	367	3135
126	369	3118
127	370	3101
128	371	3086
129	373	3070
130	374	3054
131	375	3040
132	377	3026
133	378	3011
134	379	2996
135	381	2982
136	382	2971
137	384	2959
138	385	2946
139	387	2931
140	388	2917
141	389	2903
142	391	2890
143	393	2883
144	394	2871
145	395	2858
146	397	2846
147	398	2833
148	400	2821
149	401	2809
150	402	2796
151	403	2785
152	405	2773
153	406	2761
154	407	2749
155	409	2738
156	410	2725
157	411	2713
158	412	2700
159	413	2689
160	415	2678
161	416	2667
162	417	2655
163	418	2645
164	419	2634
165	421	2623
166	422	2612
167	424	2606
168	425	2597
169	426	2586
170	428	2578
171	429	2568
172	430	2557
173	431	2547
174	433	2537
175	434	2527
176	435	2517
177	436	2507
178	438	2498
179	439	2488
180	440	2478
181	441	2468
182	442	2460
183	444	2451
184	445	2442
185	446	2432
186	447	2424
187	448	2415
188	449	2406
189	452	2407
190	457	2417
191	459	2412
192	461	2405
193	462	2400
194	464	2394
195	466	2391
196	468	2385
197	470	2379
198	471	2374
199	473	2368
200	475	2361
201	477	2357
202	478	2351
203	481	2350
204	482	2344
205	484	2336
206	485	2328
207	486	2321
208	487	2313
209	489	2306
210	490	2298
211	492	2293
212	493	2287
213	495	2284
214	497	2278
215	498	2271
216	499	2264
217	500	2256
218	502	2248
219	503	2241
220	504	2234
221	505	2227
222	506	2220
223	508	2213
224	509	2207
225	510	2201
226	512	2195
227	513	2189
228	514	2183
229	516	2176
230	517	2170
231	519	2166
232	521	2162
233	522	2157
234	524	2154
235	526	2150
236	527	2145
237	530	2143
238	541	2177
239	543	2173
240	556	2213
241	557	2207
242	570	2247
243	572	2244
244	574	2237
245	575	2231
246	576	2225
247	578	2219
248	579	2212
249	580	2206
250	586	2216
251	587	2210
252	588	2203
253	589	2196
254	591	2190
255	592	2184
256	593	2177
257	594	2171
258	596	2166
259	597	2161
260	599	2155
261	600	2150
262	602	2145
263	603	2139
264	604	2133
265	606	2128
266	607	2122
267	608	2115
268	609	2109
269	615	2119
270	616	2113
271	617	2108
272	619	2102
273	620	2096
274	621	2091
275	622	2085
276	624	2079
277	625	2075
278	626	2069
279	628	2063
280	629	2058
281	630	2053
282	632	2049
283	633	2043
284	635	2040
285	636	2035
286	638	2029
287	639	2025
288	640	2020
289	642	2015
290	643	2010
291	645	2006
292	646	2001
293	647	1995
294	661	2027
295	662	2023
296	664	2019
297	665	2013
298	666	2008
299	667	2002
300	669	1998
301	670	1993
302	671	1988
303	673	1985
304	674	1980
305	676	1975
306	677	1970
307	678	1965
308	680	1960
309	681	1956
310	682	1951
311	683	1946
312	684	1940
313	685	1935
314	687	1930
315	688	1925
316	689	1921
317	691	1916
318	692	1912
319	693	1908
320	695	1903
321	696	1898
322	697	1894
323	698	1889
324	700	1885
325	701	1881
326	703	1877
327	704	1873
328	722	1911
329	723	1907
330	724	1902
331	726	1899
332	728	1895
333	729	1891
334	731	1888
335	732	1883
336	733	1879
337	735	1874
338	737	1871
339	738	1867
340	739	1863
341	741	1859
342	742	1855
343	743	1851
344	745	1847
345	746	1842
346	747	1838
347	749	1834
348	750	1830
349	751	1826
350	753	1821
351	754	1817
352	756	1813
353	757	1809
354	758	1805
355	759	1801
356	761	1797
357	762	1793
358	763	1788
359	765	1785
360	766	1781
361	767	1777
362	769	1774
363	770	1770
364	772	1766
365	773	1762
366	774	1758
367	775	1754
368	777	1750
369	782	1755
370	783	1751
371	785	1747
372	786	1743
373	787	1738
374	788	1735
375	789	1730
376	791	1727
377	792	1723
378	793	1719
379	795	1715
380	796	1711
381	798	1709
382	799	1705
383	800	1701
384	802	1697
385	803	1694
386	804	1690
387	805	1686
388	807	1682
389	808	1678
390	809	1674
391	810	1671
392	812	1668
393	813	1664
394	815	1661
395	816	1657
396	818	1654
397	819	1650
398	820	1646
399	821	1643
400	822	1639
401	823	1635
402	825	1631
403	826	1629
404	828	1625
405	829	1622
406	831	1619
407	832	1616
408	834	1613
409	835	1609
410	836	1606
411	837	1602
412	839	1598
413	840	1595
414	841	1591
415	842	1588
416	843	1584
417	845	1581
418	846	1577
419	847	1574
420	848	1570
421	850	1567
422	851	1563
423	852	1560
424	853	1556
425	854	1553
426	856	1549
427	857	1546
428	858	1542
429	859	1539
430	861	1536
431	862	1533
432	864	1530
433	865	1528
434	867	1524
435	868	1521
436	869	1517
437	870	1514
438	872	1511
439	873	1508
440	874	1505
441	876	1502
442	877	1499
443	878	1495
444	879	1492
445	880	1489
446	888	1495
447	889	1493
448	890	1490
449	892	1486
450	894	1485
451	895	1482
452	897	1479
453	899	1477
454	900	1474
455	901	1470
456	903	1468
457	904	1465
458	905	1462
459	907	1459
460	908	1456
461	909	1453
462	910	1449
463	912	1447
464	913	1444
465	915	1441
466	916	1438
467	918	1436
468	919	1433
469	920	1429
470	921	1426
471	923	1423
472	924	1420
473	925	1417
474	926	1414
475	928	1411
476	929	1408
477	930	1405
478	932	1403
479	933	1400
480	934	1397
481	936	1394
482	937	1391
483	939	1389
484	940	1386
485	941	1383
486	943	1380
487	947	1383
488	949	1380
489	950	1377
490	952	1374
491	953	1371
492	954	1368
493	956	1366
494	957	1363
495	958	1360
496	960	1358
497	961	1355
498	962	1352
499	965	1351
500	966	1348
501	968	1345
502	969	1343
503	970	1340
504	971	1337
505	973	1334
506	974	1332
507	975	1329
508	977	1326
509	978	1323
510	980	1321
511	981	1319
512	983	1316
513	984	1313
514	985	1310
515	986	1308
516	988	1305
517	989	1302
518	990	1300
519	992	1297
520	993	1295
521	995	1292
522	996	1289
523	997	1287
524	999	1284
525	1000	1281
526	1001	1278
527	1002	1276
528	1004	1273
529	1005	1270
530	1006	1268
531	1008	1265
532	1009	1263
533	1010	1260
534	1012	1258
535	1013	1255
536	1015	1253
537	1016	1250
538	1018	1248
539	1019	1246
540	1021	1243
541	1022	1241
542	1024	1239
543	1025	1236
544	1027	1234
545	1028	1232
546	1029	1229
547	1031	1227
548	1032	1224
549	1034	1222
550	1035	1219
551	1037	1218
552	1039	1215
553	1040	1213
554	1042	1211
555	1043	1208
556	1045	1206
557	1046	1204
558	1048	1201
559	1049	1199
560	1051	1198
561	1053	1195
562	1054	1193
563	1056	1190
564	1057	1188
565	1058	1186
566	1060	1183
567	1061	1181
568	1063	1178
569	1064	1176
570	1065	1174
571	1067	1171
572	1068	1169
573	1070	1167
574	1071	1164
575	1072	1162
576	1074	1159
577	1075	1157
578	1076	1154
579	1077	1152
580	1079	1149
581	1080	1147
582	1081	1144
583	1083	1142
584	1084	1140
585	1086	1137
586	1087	1135
587	1088	1133
588	1090	1131
589	1091	1128
590	1092	1126
591	1094	1123
592	1095	1121
593	1096	1118
594	1098	1116
595	1099	1114
596	1101	1112
597	1102	1109
598	1103	1107
599	1105	1105
600	1106	1102
601	1107	1100
602	1109	1098
603	1110	1095
604	1111	1093
605	1112	1090
606	1114	1088
607	1115	1086
608	1116	1083
609	1118	1082
610	1120	1079
611	1121	1077
612	1122	1075
613	1124	1072
614	1125	1070
615	1127	1068
616	1128	1066
617	1129	1063
618	1131	1061
619	1132	1059
620	1134	1057
621	1135	1054
622	1136	1052
623	1137	1050
624	1138	1047
625	1140	1045
626	1141	1043
627	1142	1040
628	1143	1038
629	1145	1036
630	1146	1033
631	1147	1031
632	1149	1029
633	1150	1027
634	1151	1024
635	1152	1022
636	1154	1020
637	1155	1017
638	1156	1015
639	1157	1013
640	1159	1010
641	1160	1008
642	1162	1006
643	1163	1004
644	1164	1002
645	1166	1000
646	1167	997
647	1168	995
648	1170	993
649	1171	991
650	1172	989
651	1174	986
652	1175	984
653	1176	982
654	1177	980
655	1179	978
656	1180	975
657	1182	973
658	1183	971
659	1185	969
660	1186	967
661	1188	965
662	1189	963
663	1190	961
664	1191	958
665	1193	956
666	1194	954
667	1195	952
668	1197	950
669	1199	948
670	1200	946
671	1202	944
672	1203	942
673	1204	940
674	1206	938
675	1207	936
676	1208	933
677	1209	931
678	1211	929
679	1212	927
680	1214	925
681	1215	923
682	1231	932
683	1233	930
684	1235	928
685	1236	926
686	1247	931
687	1248	928
688	1249	926
689	1250	924
690	1251	922
691	1253	919
692	1254	917
693	1255	915
694	1256	913
695	1257	910
696	1258	908
697	1260	906
698	1261	904
699	1262	901
700	1263	899
701	1265	897
702	1266	895
703	1267	893
704	1268	890
705	1270	888
706	1271	886
707	1272	884
708	1274	882
709	1275	880
710	1276	878
711	1278	876
712	1279	874
713	1280	871
714	1282	869
715	1283	867
716	1285	865
717	1286	863
718	1287	861
719	1289	859
720	1290	857
721	1291	855
722	1292	852
723	1294	851
724	1295	848
725	1297	846
726	1298	845
727	1300	843
728	1301	840
729	1302	838
730	1304	836
731	1305	834
732	1306	832
733	1308	830
734	1309	828
735	1310	826
736	1312	824
737	1322	827
738	1323	825
739	1324	823
740	1325	821
741	1327	819
742	1328	817
743	1329	815
744	1331	813
745	1337	813
746	1338	811
747	1340	809
748	1341	807
749	1342	805
750	1343	803
751	1345	801
752	1347	799
753	1348	797
754	1349	795
755	1351	793
756	1352	791
757	1353	789
758	1355	787
759	1356	785
760	1357	783
761	1359	781
762	1360	779
763	1361	777
764	1363	775
765	1364	773
766	1366	771
767	1367	769
768	1369	767
769	1370	765
770	1372	763
771	1373	761
772	1374	759
773	1375	757
774	1382	758
775	1383	755
776	1384	753
777	1386	751
778	1387	749
779	1388	747
780	1390	745
781	1391	743
782	1392	741
783	1393	739
784	1395	737
785	1396	735
786	1397	733
787	1399	731
788	1400	729
789	1401	727
790	1403	725
791	1404	723
792	1405	721
793	1406	719
794	1408	717
795	1409	715
796	1410	713
797	1411	711
798	1413	709
799	1414	707
800	1415	705
801	1416	703
802	1418	701
803	1443	711
804	1445	709
805	1446	706
806	1447	704
807	1448	702
808	1450	700
809	1451	698
810	1452	696
811	1453	694
812	1455	692
813	1456	690
814	1457	688
815	1458	686
816	1459	684
817	1461	682
818	1462	680
819	1463	678
820	1464	676
821	1465	674
822	1467	672
823	1468	669
824	1469	667
825	1470	665
826	1472	664
827	1473	662
828	1474	659
829	1476	657
830	1477	655
831	1478	653
832	1479	651
833	1480	649
834	1481	647
835	1482	645
836	1484	643
837	1485	641
838	1486	639
839	1487	637
840	1489	635
841	1490	633
842	1491	631
843	1492	629
844	1493	627
845	1494	625
846	1496	623
