LotFrontage,LotArea,Street,LandSlope,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,MiscVal,MoSold,YrSold,HasGarage,MoSold_sin,MoSold_cos,HasBasement,HasPool,TotalSF,TotalFinishedSF,TotalPorchSF,TotalOutdoorSF,TotalBath,TotalFullBath,TotalHalfBath,BathPerBedroom,RoomPerBedroom,HasFireplace,HasPorch,HasWoodDeck,HasMasVnr,HouseAge,RemodAge,GarageAge,IsNewHouse,IsRemodeled,QualityConditionGap,ExteriorScore,GarageScore,BasementScore,FireplaceScore,KitchenScore,HeatingScore,QualAreaInteraction,QualTotalSF,CondAreaInteraction,QualGarageInteraction,QualBasementInteraction,QualGrLivAreaInteraction,GarageAreaPerCar,FinishedBsmtRatio,BasementRatio,LivingAreaRatio,PorchRatio,MSSubClass_120,MSSubClass_160,MSSubClass_180,MSSubClass_190,MSSubClass_20,MSSubClass_30,MSSubClass_40,MSSubClass_45,MSSubClass_50,MSSubClass_60,MSSubClass_70,MSSubClass_75,MSSubClass_80,MSSubClass_85,MSSubClass_90,MSZoning_C (all),MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,Alley_Grvl,Alley_NoAlley,Alley_Pave,LotShape_IR1,LotShape_IR2,LotShape_IR3,LotShape_Reg,LandContour_Bnk,LandContour_HLS,LandContour_Low,LandContour_Lvl,LotConfig_Corner,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Condition1_Artery,Condition1_Feedr,Condition1_Norm,Condition1_PosN,Condition1_RRAn,Condition1_Rare,Condition2_Norm,Condition2_Rare,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,HouseStyle_1.5Fin,HouseStyle_1Story,HouseStyle_2Story,HouseStyle_Rare,HouseStyle_SFoyer,HouseStyle_SLvl,RoofStyle_Gable,RoofStyle_Hip,RoofStyle_Rare,RoofMatl_CompShg,RoofMatl_Rare,Exterior1st_AsbShng,Exterior1st_BrkFace,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_Rare,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing,Exterior2nd_AsbShng,Exterior2nd_BrkFace,Exterior2nd_CmentBd,Exterior2nd_HdBoard,Exterior2nd_MetalSd,Exterior2nd_Plywood,Exterior2nd_Rare,Exterior2nd_Stucco,Exterior2nd_VinylSd,Exterior2nd_Wd Sdng,Exterior2nd_Wd Shng,MasVnrType_BrkCmn,MasVnrType_BrkFace,MasVnrType_None,MasVnrType_Stone,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Rare,Foundation_Slab,Heating_Floor,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,Electrical_FuseA,Electrical_FuseF,Electrical_FuseP,Electrical_Mix,Electrical_SBrkr,GarageType_2Types,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageType_NoGarage,Fence_GdPrv,Fence_GdWo,Fence_MnPrv,Fence_MnWw,Fence_NoFence,MiscFeature_Gar2,MiscFeature_None,MiscFeature_Othr,MiscFeature_Shed,MiscFeature_TenC,SaleType_COD,SaleType_New,SaleType_Rare,SaleType_WD,SaleCondition_Abnorml,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial,SaleCondition_Rare,SalePrice,SalePrice_log1p
65.0,8450,1,2,7,5,2003,2003,196.0,4,3,4,3,1,6,706.0,1,0.0,150.0,856.0,5,1,856,854,0,1710,1.0,0.0,2,1,3,1,4,8,7,0,0,2003.0,2,2.0,548.0,3,3,2,0,61,0,0,0,0,0,0,2,2008,1,0.8660254037844386,0.5000000000000001,1,0,2566.0,2416.0,61,61,3.5,3.0,1.0,1.1666666666666667,2.6666666666666665,0,1,0,1,5,5,5.0,0,0,2,3.5,3.0,3.5,0,4,5,17962.0,17.962,12830.0,3836.0,5992.0,11970,274.0,0.8247663551401869,0.33359314107560406,0.666406858924396,0.02377240841777085,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,208500,12.24769911637256
80.0,9600,1,2,6,8,1976,1976,0.0,3,3,4,3,4,5,978.0,1,0.0,284.0,1262.0,5,1,1262,0,0,1262,0.0,1.0,2,0,3,1,3,6,7,1,3,1976.0,2,2.0,460.0,3,3,2,298,0,0,0,0,0,0,0,5,2007,1,0.49999999999999994,-0.8660254037844387,1,0,2524.0,2240.0,0,298,2.5,2.0,1.0,0.8333333333333334,2.0,1,0,1,0,31,31,31.0,0,0,-2,3.0,3.0,3.5,3,3,5,15144.0,15.144,20192.0,2760.0,7572.0,7572,230.0,0.7749603803486529,0.5,0.5,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,181500,12.109016442313738
68.0,11250,1,2,7,5,2001,2002,162.0,4,3,4,3,2,6,486.0,1,0.0,434.0,920.0,5,1,920,866,0,1786,1.0,0.0,2,1,3,1,4,6,7,1,3,2001.0,2,2.0,608.0,3,3,2,0,42,0,0,0,0,0,0,9,2008,1,-1.0,-1.8369701987210297e-16,1,0,2706.0,2272.0,42,42,3.5,3.0,1.0,1.1666666666666667,2.0,1,1,0,1,7,6,7.0,0,1,2,3.5,3.0,3.5,3,4,5,18942.0,18.942,13530.0,4256.0,6440.0,12502,304.0,0.5282608695652173,0.3399852180339985,0.6600147819660015,0.015521064301552107,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,223500,12.317171167298682
60.0,9550,1,2,7,5,1915,1970,0.0,3,3,3,4,1,5,216.0,1,0.0,540.0,756.0,4,1,961,756,0,1717,1.0,0.0,1,0,3,1,4,7,7,1,4,1998.0,1,3.0,642.0,3,3,2,0,35,272,0,0,0,0,0,2,2006,1,0.8660254037844386,0.5000000000000001,1,0,2473.0,1933.0,307,307,2.0,2.0,0.0,0.6666666666666666,2.3333333333333335,1,1,0,0,91,36,8.0,0,1,2,3.0,3.0,3.5,4,4,4,17311.0,17.311,12365.0,4494.0,5292.0,12019,214.0,0.2857142857142857,0.305701577031945,0.694298422968055,0.12414071977355438,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,140000,11.849404844423074
84.0,14260,1,2,8,5,2000,2000,350.0,4,3,4,3,3,6,655.0,1,0.0,490.0,1145.0,5,1,1145,1053,0,2198,1.0,0.0,2,1,4,1,4,9,7,1,3,2000.0,2,3.0,836.0,3,3,2,192,84,0,0,0,0,0,0,12,2008,1,-2.4492935982947064e-16,1.0,1,0,3343.0,2853.0,84,276,3.5,3.0,1.0,0.875,2.25,1,1,1,1,8,8,8.0,0,0,3,3.5,3.0,3.5,3,4,5,26744.0,26.744,16715.0,6688.0,9160.0,17584,278.6666666666667,0.5720524017467249,0.34250673048160335,0.6574932695183966,0.025127131319174396,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,250000,12.429220196836383
85.0,14115,1,2,5,5,1993,1995,0.0,3,3,4,3,1,6,732.0,1,0.0,64.0,796.0,5,1,796,566,0,1362,1.0,0.0,1,1,1,1,3,5,7,0,0,1993.0,1,2.0,480.0,3,3,2,40,30,0,320,0,0,0,700,10,2009,1,-0.8660254037844386,0.5000000000000001,1,0,2158.0,2094.0,350,390,2.5,2.0,1.0,2.5,5.0,0,1,1,0,16,14,16.0,0,1,0,3.0,3.0,3.5,0,3,5,10790.0,10.79,10790.0,2400.0,3980.0,6810,240.0,0.9195979899497487,0.36886005560704355,0.6311399443929564,0.16218721037998146,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,143000,11.870606902224587
75.0,10084,1,2,8,5,2004,2005,186.0,4,3,5,3,3,6,1369.0,1,0.0,317.0,1686.0,5,1,1694,0,0,1694,1.0,0.0,2,0,3,1,4,7,7,1,4,2004.0,2,2.0,636.0,3,3,2,255,57,0,0,0,0,0,0,8,2007,1,-0.8660254037844385,-0.5000000000000004,1,0,3380.0,3063.0,57,312,3.0,3.0,0.0,1.0,2.3333333333333335,1,1,1,1,3,2,3.0,0,1,3,3.5,3.0,4.0,4,4,5,27040.0,27.04,16900.0,5088.0,13488.0,13552,318.0,0.8119810201660735,0.49881656804733726,0.5011834319526627,0.01686390532544379,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,307000,12.634606283893019
80.0,10382,1,2,7,6,1973,1973,240.0,3,3,4,3,2,5,859.0,4,32.0,216.0,1107.0,5,1,1107,983,0,2090,1.0,0.0,2,1,3,1,3,7,7,2,3,1973.0,2,2.0,484.0,3,3,2,235,204,228,0,0,0,0,350,11,2009,1,-0.5000000000000004,0.8660254037844384,1,0,3197.0,2981.0,432,667,3.5,3.0,1.0,1.1666666666666667,2.3333333333333335,1,1,1,1,36,36,36.0,0,0,1,3.0,3.0,3.5,3,3,5,22379.0,22.379,19182.0,3388.0,7749.0,14630,242.0,0.8048780487804879,0.34626212073819207,0.6537378792618079,0.1351266812636847,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,200000,12.206077645517674
51.0,6120,1,2,7,5,1931,1950,0.0,3,3,3,3,1,1,0.0,1,0.0,952.0,952.0,4,1,1022,752,0,1774,0.0,0.0,2,0,2,2,3,8,6,2,3,1931.0,1,2.0,468.0,2,3,2,90,0,205,0,0,0,0,0,4,2008,1,0.8660254037844387,-0.4999999999999998,1,0,2726.0,1774.0,205,295,2.0,2.0,0.0,1.0,4.0,1,0,1,0,77,58,77.0,0,1,2,3.0,2.5,3.0,3,3,4,19082.0,19.082,13630.0,3276.0,6664.0,12418,234.0,0.0,0.3492296404988995,0.6507703595011005,0.0752017608217168,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,129900,11.774527900858468
50.0,7420,1,2,5,6,1939,1950,0.0,3,3,3,3,1,6,851.0,1,0.0,140.0,991.0,5,1,1077,0,0,1077,1.0,0.0,1,0,2,2,3,5,7,2,3,1939.0,2,1.0,205.0,4,3,2,0,4,0,0,0,0,0,0,1,2008,1,0.49999999999999994,0.8660254037844387,1,0,2068.0,1928.0,4,4,2.0,2.0,0.0,1.0,2.5,1,1,0,0,69,58,69.0,0,1,-1,3.0,3.5,3.0,3,3,5,10340.0,10.34,12408.0,1025.0,4955.0,5385,205.0,0.858728557013118,0.47920696324951645,0.5207930367504836,0.0019342359767891683,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,118000,11.678448377988165
